                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5102,                 1.6325,                0.86794,                0.45954,                0.28663,                0.25568,                0.15044,                  1.257,                 1.3909,                0.82234,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.3513,                0.81901,                 0.8309,                 0.7559,                0.47961,                0.54458,                0.31866,                 1.2111,                0.78196,                 0.8191,             0.00081451,             0.00081451,             0.00081451
